match_id,date,match_home_team,latitude_from,longitude_from,next_team,latitude_next,longitude_next,distance_km,avg_talent
Miami FC vs. Hartford Athletic,2025-09-06,Miami FC,25.7639,-80.1899,Spokane Velocity FC,47.667363,-117.420367,0.0752507732486265,0.3278280437651106
New Mexico United vs. Detroit City FC,2025-09-10,New Mexico United,35.0795,-106.606,North Carolina FC,35.7873226,-78.7542068,0.4253165370303032,0.3988569321162881
North Carolina FC vs. El Paso Locomotive FC,2025-09-12,North Carolina FC,35.7873226,-78.7542068,Sacramento Republic FC,38.5616356,-121.4907504,0.1400098531234913,0.4169219473564323
Sacramento Republic FC vs. Phoenix Rising FC,2025-09-13,Sacramento Republic FC,38.5616356,-121.4907504,Richmond Kickers,37.5817846,-77.4884784,0.1282855821759854,0.4493701854619447
Birmingham Legion FC vs. Tampa Bay Rowdies,2025-09-17,Birmingham Legion FC,33.5133982,-86.8009311,Oakland Roots SC,37.7255905,-122.2324865,0.2652017622989402,0.3619178453498226
Miami FC vs. Rhode Island FC,2025-09-20,Miami FC,25.7639,-80.1899,Spokane Velocity FC,47.667363,-117.420367,0.0752507732486265,0.3972896298420999
Westchester SC vs. Texoma FC,2025-09-21,Westchester SC,40.711376,-74.004442,Colorado Springs Switchbacks FC,38.8955559,-104.7132438,0.4019781882617611,0.2317016999817211
Colorado Springs Switchbacks FC vs. New Mexico United,2025-09-24,Colorado Springs Switchbacks FC,38.8955559,-104.7132438,North Carolina FC,35.7873226,-78.7542068,0.4717509185559877,0.3612768538960398
One Knoxville SC vs. Charlotte Independence,2025-09-26,One Knoxville SC,35.97233,-83.915533,Monterey Bay FC,36.652918,-121.809193,0.229376459237293,0.4006329278269441
Orange County SC vs. Charleston Battery,2025-09-27,Orange County SC,36.216459,-119.328777,Loudoun United FC,39.069037,-77.5455554,0.163908855347576,0.4908782905788491
Loudoun United FC vs. Tampa Bay Rowdies,2025-09-28,Loudoun United FC,39.069037,-77.5455554,Sacramento Republic FC,38.5616356,-121.4907504,0.1387827748121487,0.4339277633040455
One Knoxville SC vs. Chattanooga Red Wolves SC,2025-10-01,One Knoxville SC,35.97233,-83.915533,Charlotte Independence,35.2198156,-80.8292123,0.9334862495016464,0.3347014922133539
Phoenix Rising FC vs. New Mexico United,2025-10-04,Phoenix Rising FC,33.4586015,-112.069558,Rhode Island FC,41.8684026,-71.3831786,0.1631074898575651,0.3873503538239937
Union Omaha vs. FC Naples,2025-10-05,Union Omaha,41.15111542,-96.10290527,North Carolina FC,35.7873226,-78.7542068,0.6300646102546682,0.3115920672785532
Charlotte Independence vs. AV Alta FC,2025-10-10,Charlotte Independence,35.2198156,-80.8292123,Spokane Velocity FC,47.667363,-117.420367,0.2442770731512089,0.3648898801986309
Texoma FC vs. Richmond Kickers,2025-10-11,Texoma FC,33.63773,-96.60976,Westchester SC,40.711376,-74.004442,0.510526205012053,0.2599735099243476
Charlotte Independence vs. Chattanooga Red Wolves SC,2025-10-17,Charlotte Independence,35.2198156,-80.8292123,Orange County SC,36.216459,-119.328777,0.2109842510290149,0.3655260648761054
El Paso Locomotive FC vs. FC Tulsa,2025-10-18,El Paso Locomotive FC,31.763608,-106.484592,North Carolina FC,35.7873226,-78.7542068,0.407918079286421,0.4441640841421973
