match,date,from_team,latitude_from,longitude_from,next_date,next_home,latitude_next,longitude_next,distance,talent
North Carolina FC vs El Paso Locomotive FC,2025-09-12,North Carolina FC,35.7873226,-78.7542068,2025-09-13,Monterey Bay FC,36.652918,-121.809193,2385.666445872964,0.1982517751964139
Monterey Bay FC vs Hartford Athletic,2025-09-13,Monterey Bay FC,36.652918,-121.809193,2025-09-17,Richmond Kickers,37.5817846,-77.4884784,2425.3159135467326,0.0768696523264449
Richmond Kickers vs Portland Hearts of Pine,2025-09-17,Richmond Kickers,37.5817846,-77.4884784,2025-09-20,Monterey Bay FC,36.652918,-121.809193,2425.3159135467326,0.2562315377679234
Monterey Bay FC vs New Mexico United,2025-09-20,Monterey Bay FC,36.652918,-121.809193,2025-09-21,Portland Hearts of Pine,43.6593917,-70.2638855,2726.6166182566803,0.0931744287102483
Portland Hearts of Pine vs FC Naples,2025-09-21,Portland Hearts of Pine,43.6593917,-70.2638855,2025-09-24,Colorado Springs Switchbacks FC,38.8955559,-104.7132438,1809.816095258027,0.2212941583873936
Colorado Springs Switchbacks FC vs New Mexico United,2025-09-24,Colorado Springs Switchbacks FC,38.8955559,-104.7132438,2025-09-26,North Carolina FC,35.7873226,-78.7542068,1440.3327240440703,0.2696551277438967
North Carolina FC vs Miami FC,2025-09-26,North Carolina FC,35.7873226,-78.7542068,2025-09-27,Spokane Velocity FC,47.667363,-117.420367,2133.391144117146,0.2755581700018854
Spokane Velocity FC vs Greenville Triumph SC,2025-09-27,Spokane Velocity FC,47.667363,-117.420367,2025-09-28,Westchester SC,40.711376,-74.004442,2179.5625585432467,0.0494271158346438
Westchester SC vs Forward Madison FC,2025-09-28,Westchester SC,40.711376,-74.004442,2025-10-01,El Paso Locomotive FC,31.763608,-106.484592,1903.4625523131056,0.2274085335330883
El Paso Locomotive FC vs Oakland Roots SC,2025-10-01,El Paso Locomotive FC,31.763608,-106.484592,2025-10-03,South Georgia Tormenta FC,32.4046544,-81.7990074,1445.5546311219182,0.0286152499036686
South Georgia Tormenta FC vs Westchester SC,2025-10-03,South Georgia Tormenta FC,32.4046544,-81.7990074,2025-10-04,Oakland Roots SC,37.7255905,-122.2324865,2302.8535277538567,0.0914771629360102
Oakland Roots SC vs Hartford Athletic,2025-10-04,Oakland Roots SC,37.7255905,-122.2324865,2025-10-05,Rhode Island FC,41.8684026,-71.3831786,2681.55078349663,0.2247985764567056
Rhode Island FC vs Las Vegas Lights FC,2025-10-05,Rhode Island FC,41.8684026,-71.3831786,2025-10-10,North Carolina FC,35.7873226,-78.7542068,577.5944898212291,0.3133301895105774
North Carolina FC vs Phoenix Rising FC,2025-10-10,North Carolina FC,35.7873226,-78.7542068,2025-10-11,Spokane Velocity FC,47.667363,-117.420367,2133.391144117146,0.2135386655959047
Spokane Velocity FC vs South Georgia Tormenta FC,2025-10-11,Spokane Velocity FC,47.667363,-117.420367,2025-10-12,Westchester SC,40.711376,-74.004442,2179.5625585432467,0.0731535327553992
Westchester SC vs FC Naples,2025-10-12,Westchester SC,40.711376,-74.004442,2025-10-16,Birmingham Legion FC,33.5133982,-86.8009311,862.1445255851216,0.217722989497714
Birmingham Legion FC vs North Carolina FC,2025-10-16,Birmingham Legion FC,33.5133982,-86.8009311,2025-10-17,Charlotte Independence,35.2198156,-80.8292123,360.9503426676525,0.2285511481669764
Charlotte Independence vs Chattanooga Red Wolves SC,2025-10-17,Charlotte Independence,35.2198156,-80.8292123,2025-10-18,Monterey Bay FC,36.652918,-121.809193,2282.3214133378933,0.1949943351624631
Monterey Bay FC vs Pittsburgh Riverhounds FC,2025-10-18,Monterey Bay FC,36.652918,-121.809193,2025-10-19,North Carolina FC,35.7873226,-78.7542068,2385.666445872964,0.2990254887057484
